,number,artist,title,genre,heart,t.listener,t.listen
195,91691113,장민호,훨훨훨,트로트,131,"7,695","65,932"
196,90751199,김희재,미소를 띄우며 나를 보낸 그 모습처럼,트로트,743,"16,244","364,927"
197,90216787,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,빵빵,트로트,"1,916","77,349","456,369"
198,91691108,유브이 (UV) & 임영웅,트랄랄라,트로트,653,"9,944","78,762"
199,90190733,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,사랑사랑사랑,댄스,"2,180","109,691","676,160"
200,91420723,이찬원,손가락하트,트로트,704,"10,491","135,340"
201,90169586,이찬원,얄미운 사람,트로트,"1,124","48,582","398,141"
202,90190743,김호중,님의 등불,트로트,"3,037","47,987","658,283"
203,92638153,정동원 & 양지은,엄마가 딸에게,트로트,149,"6,398","35,655"
204,90928021,영탁,서른이면,트로트,681,"27,093","205,475"
205,90148244,임영웅 & 영탁 & 이찬원 & 정동원 & 김호중 & 장민호 & 김희재,영일만 친구,트로트,"2,239","115,393","636,190"
206,90827758,임영웅 & 정명규,인형,트로트,"1,242","22,378","201,641"
207,91125231,임태경 (Im TaeKyung) & 임영웅,잊혀진 계절,트로트,741,"18,173","135,651"
208,92720596,임영웅,자기야,트로트,444,"12,335","34,560"
209,91125231,임태경 (Im TaeKyung) & 임영웅,잊혀진 계절,트로트,741,"18,173","135,651"
210,92720596,임영웅,자기야,트로트,444,"12,335","34,560"
211,90190736,영탁,자기야,트로트,806,"62,828","374,847"
212,90972996,이찬원,7번 국도,트로트,707,"10,118","134,418"
213,90482380,이찬원,산다는 건,트로트,995,"28,238","259,778"
214,90827762,임영웅 & 정명규,라라라,트로트,"1,199","18,761","173,991"
215,90482371,임영웅 & 영탁 & 이찬원 & 정동원 (JUNG DONG WON) & 김호중 & 장민호 & 김희재,이브의 경고,트로트,"1,630","58,320","311,366"
216,90124474,장민호,월량대표아적심 (月亮代表我的心),트로트,458,"40,292","313,795"
217,90190735,김호중,사랑아,트로트,"2,966","54,550","680,129"
218,90928027,임영웅,바보같은 사나이,트로트,"1,334","25,645","126,605"
219,92638149,임영웅 & 영탁 & 이찬원 & 정동원 & 장민호 & 김희재 & 강태관,그대여 변치마오,트로트,579,"13,427","32,784"
220,90891138,장민호 & 차지연,홍연,트로트,259,"16,470","130,510"
221,91485298,이찬원,사랑이 떠나가네,트로트,752,"11,184","162,102"
222,90677247,영탁,카스바의 여인,트로트,527,"34,218","160,334"
223,90482372,이찬원,쓰리랑,트로트,"1,067","29,371","384,680"
224,91893121,임영웅,꿈인지 생신지,트로트,735,"11,818","50,811"
225,90190739,김희재,애모,트로트,781,"26,565","271,383"
226,90640756,솔지,천상재회,트로트,152,"17,515","149,659"
227,90412806,영탁,남자는 말합니다,트로트,660,"42,553","250,073"
